ASIN,Book Title,Amazon Link,Episode Count,Episode Numbers
"B07DQ7YQSD","The Way We Eat Now","https://www.amazon.in/gp/product/B07DQ7YQSD/ref=dbs_a_def_rwt_hsch_vapi_tkin_p1_i1",2,"222;222"
"B01MYA2MJY","Building State Capability","https://www.amazon.in/Building-State-Capability-Evidence-Analysis-ebook/dp/B01MYA2MJY/ref=sr_1_4?keywords=building+state+capacity",1,"223"
"B015HGRZ5O","Capital","https://www.amazon.in/Capital-Rana-Dasgupta-ebook/dp/B015HGRZ5O/ref=sr_1_5?keywords=rana+dasgupta",1,"223"
"0226320669","The Fatal Conceit","https://www.amazon.in/Fatal-Conceit-COLLECTED-WORKS-HAYEK/dp/0226320669/ref=sr_1_1?dchild=1",5,"223;237;237;306;306"
"B002RI9ZX6","Never Let Me Go: 20th anniversary edition","https://www.amazon.in/Never-Let-Me-Kazuo-Ishiguro-ebook/dp/B002RI9ZX6/ref=sr_1_3?crid=T0TLZ3ZZKK63",2,"224;224"
"B00P6TZFT6","The Man Who Knew Infinity: A Life of the Genius Ramanujan","https://www.amazon.in/Man-Who-Knew-Infinity-Ramanujan-ebook/dp/B00P6TZFT6/ref=sr_1_1?keywords=Robert+Kanigel",4,"224;224;314;314"
"B002RI9TB4","Half of a Yellow Sun","https://www.amazon.in/Half-Yellow-Chimamanda-Ngozi-Adichie-ebook/dp/B002RI9TB4/ref=sr_1_1?keywords=half+of+a+yellow+sun",2,"224;224"
"B06ZZMLMKT","My Family and Other Animals","https://www.amazon.in/Family-Other-Animals-Corfu-Trilogy-ebook/dp/B06ZZMLMKT/ref=sr_1_1?crid=2ID2ZG2IE6QIP",2,"224;224"
"B009EQG794","Spillover: Animal Infections and the Next Human Pandemic","https://www.amazon.in/Spillover-Animal-Infections-Human-Pandemic-ebook/dp/B009EQG794/ref=sr_1_1?keywords=spillover",4,"224;224;232;232"
"0684801582","Astonishing Hypothesis: The Scientific Search for the Soul","https://www.amazon.in/Astonishing-Hypothesis-Scientific-Search-Soul/dp/0684801582/ref=sr_1_13?dchild=1",2,"226;226"
"B07B4P5Z5B","Community: The Structure of Belonging","https://www.amazon.in/Community-Structure-Belonging-Peter-Block-ebook/dp/B07B4P5Z5B/ref=sr_1_1?keywords=peter+block+community",2,"226;226"
"0691150699","The Expanding Circle: Ethics, Evolution, and Moral Progress","https://www.amazon.in/Expanding-Circle-Ethics-Evolution-Progress/dp/0691150699/ref=sr_1_18?dchild=1",10,"226;226;311;311;313;313;318;318;329;329"
"B00D8JJYWA","Seeing Like a State","https://www.amazon.in/Seeing-Like-State-Condition-Institution-ebook/dp/B00D8JJYWA/ref=sr_1_4?dchild=1",2,"227;227"
"B07QLY4562","The Lost Decade","https://www.amazon.in/Lost-Decade-2008-18-Devolved-Without-ebook/dp/B07QLY4562/ref=tmm_kin_swatch_0?_encoding=UTF8",18,"227;227;252;252;274;274;282;282;285;285;305;305;307;307;313;313;333;333"
"B096P4N9PF","A Vindication of the Rights of Woman","https://www.amazon.in/dp/B096P4N9PF/ref=sr_1_1?dchild=1",4,"228;228;332;332"
"B00K1XOV5G","To Kill A Mockingbird","https://www.amazon.in/Kill-Mockingbird-Enhanced-Harper-Lee-ebook/dp/B00K1XOV5G/ref=sr_1_1?dchild=1",4,"228;228;301;301"
"B096LY1RYV","Crime and Punishment","https://www.amazon.in/CRIME-PUNISHMENT-Fyodor-Dostoevsky-ebook/dp/B096LY1RYV/ref=sr_1_7?dchild=1",4,"228;228;316;316"
"B0844SFX74","Fearless Freedom","https://www.amazon.in/Fearless-Freedom-Kavita-Krishnan-ebook/dp/B0844SFX74/ref=sr_1_1?keywords=fearless+freedom",4,"228;228;293;293"
"B07NZ32DPS","Feminism for the 99%","https://www.amazon.in/Feminism-99-Manifesto-Nancy-Fraser-ebook/dp/B07NZ32DPS/ref=sr_1_2?dchild=1",2,"228;228"
"B00A62YCRO","House of the Dead","https://www.amazon.in/House-Dead-Dover-Thrift-Editions-ebook/dp/B00A62YCRO/ref=sr_1_1?dchild=1",6,"228;228;288;288;314;314"
"019562856X","Leaves From the Jungle","https://www.amazon.in/Leaves-Jungle-Village-Oxford-Paperbacks/dp/019562856X/ref=sr_1_1?keywords=verrier+elwin+leaves",2,"228;228"
"B073W9TT71","Little Women","https://www.amazon.in/Little-Women-AmazonClassics-Louisa-Alcott-ebook/dp/B073W9TT71/ref=sr_1_4?dchild=1",2,"228;228"
"B01ITBUXQ2","Marxvaad Aur Ram Rajya","https://www.amazon.in/MARKSVAD-AUR-RAMRAJYA-Swami-Karpatri/dp/B01ITBUXQ2/ref=sr_1_1?dchild=1",6,"228;228;266;266;306;306"
"0367029200","Revolutionary Desires: Women, Communism, and Feminism in India","https://www.amazon.in/Revolutionary-Desires-Women-Communism-Feminism/dp/0367029200/ref=tmm_pap_swatch_0?_encoding=UTF8",2,"228;228"
"B096N2GCW6","The Awakening, and Selected Short Stories","https://www.amazon.in/Kate-Chopin-Awakening-Selected-Stories-ebook/dp/B096N2GCW6/ref=sr_1_2?dchild=1",2,"228;228"
"B003E2UQLO","The City &amp; the City","https://www.amazon.in/City-tie-Picador-Classic-Book-ebook/dp/B003E2UQLO/ref=sr_1_1?dchild=1",8,"228;228;252;252;275;275;318;318"
"B01AH0JZV2","Who Stole Feminism?","https://www.amazon.in/Who-Stole-Feminism-Women-Betrayed-ebook/dp/B01AH0JZV2/ref=monarch_sidesheet",2,"228;228"
"B00FYUM52C","Do No Harm: Stories of Life, Death and Brain Surgery - as seen on 'life-changing' BBC documentary Confessions of a Brain Surgeon","https://www.amazon.in/Do-No-Harm-Stories-Surgery-ebook/dp/B00FYUM52C/ref=sr_1_1?dchild=1",2,"229;229"
