Episode Number,Episode Title,Episode Date,ASIN,Book Title,Amazon Link,Episode URL
271,"Crossing Over With Deepak Shenoy",2022-04-04,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/4/4/episode-271-crossing-over-with-deepak-shenoy/"
271,"Crossing Over With Deepak Shenoy",2022-04-04,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/4/4/episode-271-crossing-over-with-deepak-shenoy/"
299,"The Reflections Of Samarth Bansal",2022-10-17,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/10/17/episode-299-the-reflections-of-samarth-bansal/"
299,"The Reflections Of Samarth Bansal",2022-10-17,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/10/17/episode-299-the-reflections-of-samarth-bansal/"
102,"The Paradox Of Narendra Modi",2019-01-07,"B07J9VHB2V","Amazon Book Link","https://www.amazon.in/The-Paradoxical-Prime-Minister-ebook/dp/B07J9VHB2V/ref=sr_1_2_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2019/1/7/episode-102-the-paradox-of-narendra-modi/"
103,"The Emergency",2019-01-14,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2019/1/14/episode-103-the-emergency/"
242,"Indias Security State",2021-09-13,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2021/9/13/episode-242-indias-security-state/"
242,"Indias Security State",2021-09-13,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2021/9/13/episode-242-indias-security-state/"
302,"The Life And Times Of Teesta Setalvad",2022-11-07,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2022/11/7/episode-302-the-life-and-times-of-teesta-setalvad/"
302,"The Life And Times Of Teesta Setalvad",2022-11-07,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2022/11/7/episode-302-the-life-and-times-of-teesta-setalvad/"
305,"Coomi Kapoor Has The Inside Track",2022-11-28,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2022/11/28/episode-305-coomi-kapoor-has-the-inside-track/"
305,"Coomi Kapoor Has The Inside Track",2022-11-28,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2022/11/28/episode-305-coomi-kapoor-has-the-inside-track/"
306,"The History Of The Planning Commission",2022-12-05,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2022/12/5/episode-306-the-history-of-the-planning-commission/"
306,"The History Of The Planning Commission",2022-12-05,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2022/12/5/episode-306-the-history-of-the-planning-commission/"
327,"The Many Shades Of George Fernandes",2023-05-01,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2023/5/1/episode-327-the-many-shades-of-george-fernandes/"
327,"The Many Shades Of George Fernandes",2023-05-01,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2023/5/1/episode-327-the-many-shades-of-george-fernandes/"
333,"Subhashish Bhadra On Our Dysfunctional State",2023-06-12,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2023/6/12/episode-333-subhashish-bhadra-on-our-dysfunctional-state/"
333,"Subhashish Bhadra On Our Dysfunctional State",2023-06-12,"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8","https://seenunseen.in/episodes/2023/6/12/episode-333-subhashish-bhadra-on-our-dysfunctional-state/"
